originals	tokenized	transliterated	transliterated_common
mandugal	m a n d u g a l	m a n d u j a l	mandujal
cuhai	c u h ai	k u h a:i	kuha:i
olifu	o l i f u	o l i f u	olifu
manghalupai	m a n g h a l u p ai	m a n j h a l u p a:i	manjhalupa:i
caabu	c a a b u	k a a b u	kaabu
imané	i m a n é	i m a n e	imane
didoc	d i d o c	d i d o k	didok
pecuaba	p e c u a b a	p e k u a b a	pekuaba
lo asèse	l o # a s è s e	l o # a s E s e	lo asEse
rac²	r a c ²	r a k ²	rak²
		⁇	⁇
fasondrata	f a s o n d r a t a	f a s o n d r a t a	fasondrata
bada	b a d a	b a d a	bada
chèoba nene igidia	ch è o b a # n e n e # i gi d i a	k E o b a # n e n e # i c d i a	kEoba nene icdia
tòla	t ò l a	t O l a	tOla
gabe	g a b e	j a b e	jabe
odohoda	o d o h o d a	o d o h o d a	odohoda
faroi	f a r o i	f a r o i	faroi
sírang	s í r a n g	s i r a n j	siranj
capacoa	c a p a c o a	k a p a k o a	kapakoa
ami	a m i	a m i	ami
		⁇	⁇
camoni	c a m o n i	k a m o n i	kamoni
fanaha	f a n a h a	f a n a h a	fanaha
mahusò	m a h u s ò	m a h u s O	mahusO
peeò	p e e ò	p e e O	peeO
maemòlu	m ae m ò l u	m a:e m O l u	ma:emOlu
tòrang ni arima	t ò r a n g # n i # a r i m a	t O r a n j # n i # a r i m a	tOranj ni arima
naomana	n ao m a n a	n a:o m a n a	na:omana
alave	a l a v e	a l a v e	alave
potòsi	p o t ò s i	p o t O s i	potOsi
cahoda	c a h o d a	k a h o d a	kahoda
dania	d a n i a	d a n i a	dania
nung i	n u n g # i	n u n j # i	nunj i
naapé	n a a p é	n a a p e	naape
moro	m o r o	m o r o	moro
módom	m ó d o m	m o d o m	modom
euho	e u h o	e u h o	euho
cauho	c au h o	k a:u h o	ka:uho
bauho	b au h o	b a:u h o	ba:uho
hulu	h u l u	h u l u	hulu
		⁇	⁇
cahapò	c a h a p ò	k a h a p O	kahapO
heza	h e z a	h e z a	heza
di diia	d i # d i i a	d i # d i i a	di diia
gno ò	gn o # ò	ñ o # O	ño O
ia	i a	i a	ia
andro	a n d r o	a n d r o	andro
ibana	i b a n a	i b a n a	ibana
