originals	toba_batak_TOKEN	toba_batak_TRANSLITERATED	toba_batak_COMMON
mamongól	m a m o n g ó l	m a m o n j o l	mamonjol
rara	r a r a	r a r a	rara
hotang	h o t a n g	h o t a n j	hotanj
manegahón	m a n e g a h ó n	m a n e j a h o n	manejahon
matolbac	m a t o l b a c	m a t o l b a k	matolbak
manangho	m a n a n g h o	m a n a n j h o	mananjho
guru	g u r u	j u r u	juru
mudar	m u d a r	m u d a r	mudar
		⁇	⁇
umboto	u m b o t o	u m b o t o	umboto
pagiac	p a gi a c	p a c a k	pacak
pagiac	p a gi a c	p a c a k	pacak
saga saga hodon	s a g a # s a g a # h o d o n	s a j a # s a j a # h o d o n	saja saja hodon
sisic	s i s i c	s i s i k	sisik
tanga	t a n g a	t a n j a	tanja
oto	o t o	o t o	oto
tuwat	t u w a t	t u w a t	tuwat
midgiur	m i d gi u r	m i d c u r	midcur
rang²	r a n g ²	r a n j ²	ranj²
margait	m a r g ai t	m a r j a:i t	marja:it
margait	m a r g ai t	m a r j a:i t	marja:it
batu	b a t u	b a t u	batu
mahusaem	m a h u s ae m	m a h u s a:e m	mahusa:em
olo	o l o	o l o	olo
has	h a s	h a s	has
hora	h o r a	h o r a	hora
hundul	h u n d u l	h u n d u l	hundul
manghihutton	m a n g h i h u t t o n	m a n j h i x u t t o n	manjhixutton
manghihutton	m a n g h i h u t t o n	m a n j h i x u t t o n	manjhixutton
sai	s ai	s a:i	sa:i
malla	m a l l a	m a l l a	malla
na bot	n a # b o t	n a # b o t	na bot
manguwas	m a n g u w a s	m a n j u w a s	manjuwas
manguwas	m a n g u w a s	m a n j u w a s	manjuwas
olo	o l o	o l o	olo
songon	s o n g o n	s o n j o n	sonjon
hambirang	h a m b i r a n g	h a m b i r a n j	hambiranj
ra lao	r a # l ao	r a # l a:o	ra la:o
mata ni ari	m a t a # n i # a r i	m a t a # n i # a r i	mata ni ari
tombal	t o m b a l	t o m b a l	tombal
		⁇	⁇
		⁇	⁇
salibon	s a l i b o n	s a l i b o n	salibon
nengel	n e n g e l	n e n j e l	nenjel
iboto	i b o t o	i b o t o	iboto
haha	h a h a	h a h a	haha
anghi	a n g h i	a n j h i	anjhi
gantung	g a n t u n g	j a n t u n j	jantunj
abara	a b a r a	a b a r a	abara
mangapusi	m a n g a p u s i	m a n j a p u s i	manjapusi
te	t e	t e	te
		⁇	⁇
begu	b e g u	b e j u	beju
sappur	s a p p u r	s a p p u r	sappur
marsitidgiur	m a r s i t i d gi u r	m a r s i t i d c u r	marsitidcur
pajah	p a j a h	p a j a h	pajah
morsonggopan bittang	m o r s o n g g o p a n # b i t t a n g	m o r s o n j j o p a n # b i t t a n j	morsonjjopan bittanj
suwac	s u w a c	s u w a k	suwak
dalan	d a l a n	d a l a n	dalan
barsi	b a r s i	b a r s i	barsi
