originals	nias_TOKEN	nias_TRANSLITERATED	nias_COMMON
horo	h o r o	h o r o	horo
arorodo manu	a r o r o d o # m a n u	a r o r o d o # m a n u	arorodo manu
mafonu	m a f o n u	m a f o n u	mafonu
maocho	m ao c h o	m a:o k h o	ma:okho
fanicha	f a n i c h a	f a n i k h a	fanikha
fuso	f u s o	f u s o	fuso
iada	i a d a	i a d a	iada
iada	i a d a	i a d a	iada
dalinga	d a l i n g a	d a l i n j a	dalinja
		⁇	⁇
io	i o	i o	io
wale²	w a l e ²	w a l e ²	wale²
wale²	w a l e ²	w a l e ²	wale²
tòla	t ò l a	t O l a	tOla
gòfu heza	g ò f u # h e z a	j O f u # h e z a	jOfu heza
lèfe	l è f e	l E f e	lEfe
oma	o m a	o m a	oma
		⁇	⁇
laza	l a z a	l a z a	laza
sibaia	s i b ai a	s i b a:i a	siba:ia
muhede	m u h e d e	m u h e d e	muhede
madono	m a d o n o	m a d o n o	madono
madono	m a d o n o	m a d o n o	madono
gòbi	g ò b i	j O b i	jObi
lomoi moi	l o m o i # m o i	l o m o i # m o i	lomoi moi
atau	a t au	a t a:u	ata:u
dodo ebolo	d o d o # e b o l o	d o d o # e b o l o	dodo ebolo
ohoho	o h o h o	o h o h o	ohoho
uli	u l i	u l i	uli
bu	b u	b u	bu
lada	l a d a	l a d a	lada
teala	t e a l a	t e a l a	teala
abua	a b u a	a b u a	abua
ia	i a	i a	ia
tutu	t u t u	t u t u	tutu
tutu	t u t u	t u t u	tutu
halu	h a l u	h a l u	halu
halu	h a l u	h a l u	halu
suchu	s u c h u	s u k h u	sukhu
memé susú	m e m é # s u s ú	m e m e # s u s u	meme susu
memé susú	m e m é # s u s ú	m e m e # s u s u	meme susu
tatoa	t a t o a	t a t o a	tatoa
mee	m e e	m e e	mee
manano	m a n a n o	m a n a n o	manano
figa	f i g a	f i j a	fija
figa	f i g a	f i j a	fija
ide²	i d e ²	i d e ²	ide²
ahe	a h e	a h e	ahe
ahe	a h e	a h e	ahe
afono	a f o n o	a f o n o	afono
cara	c a r a	k a r a	kara
gobé	g o b é	j o b e	jobe
teu	t e u	t e u	teu
na furi	n a # f u r i	n a # f u r i	na furi
awena	a w e n a	a w e n a	awena
		⁇	⁇
turu sebua	t u r u # s e b u a	t u r u # s e b u a	turu sebua
		⁇	⁇
arowaha	a r o w a h a	a r o w a h a	arowaha
bolocha	b o l o c h a	b o l o k h a	bolokha
bao	b ao	b a:o	ba:o
bawi	b a w i	b a w i	bawi
bawa ndruho	b a w a # n d r u h o	b a w a # n d r u h o	bawa ndruho
tola	t o l a	t o l a	tola
tola	t o l a	t o l a	tola
numána	n u m á n a	n u m a n a	numana
halo	h a l o	h a l o	halo
fangowálu	f a n g o w á l u	f a n j o w a l u	fanjowalu
alau	a l au	a l a:u	ala:u
me fona	m e # f o n a	m e # f o n a	me fona
ono siaa	o n o # s i a a	o n o # s i a a	ono siaa
		⁇	⁇
aloo	a l o o	a l o o	aloo
abou	a b ou	a b o:u	abo:u
hawara	h a w a r a	h a w a r a	hawara
hauga	h au g a	h a:u j a	ha:uja
ahoto	a h o t o	a h o t o	ahoto
dae	d ae	d a:e	da:e
dae	d ae	d a:e	da:e
daa	d a a	d a a	daa
tobo	t o b o	t o b o	tobo
wa'a	w a ' a	w a ' a	wa'a
tambago	t a m b a g o	t a m b a j o	tambajo
daha gheu	d a h a # g h e u	d a h a # j h e u	daha jheu
dodo bao	d o d o # b ao	d o d o # b a:o	dodo ba:o
lo asese	l o # a s e s e	l o # a s e s e	lo asese
fachilichili	f a ch i l i ch i l i	f a k i l i k i l i	fakilikili
fangalucho	f a n g a l u c h o	f a n j a l u k h o	fanjalukho
hanu²	h a n u ²	h a n u ²	hanu²
diala	d i a l a	d i a l a	diala
u o zocha	u # o # z o c h a	u # o # z o k h a	u o zokha
		⁇	⁇
maigi	m ai gi	m a:i c	ma:ic
maigi	m ai gi	m a:i c	ma:ic
osi	o s i	o s i	osi
osi	o s i	o s i	osi
famácha	f a m á c h a	f a m a k h a	famakha
lafa oroi	l a f a # o r o i	l a f a # o r o i	lafa oroi
faòsi si	f aò s i # s i	f a:O s i # s i	fa:Osi si
mangawuli	m a n g a w u l i	m a n j a w u l i	manjawuli
ifuli itema	i f u l i # i t e m a	i f u l i # i t e m a	ifuli itema
afato	a f a t o	a f a t o	afato
oio	o i o	o i o	oio
ue	u e	u e	ue
		⁇	⁇
		⁇	⁇
managonago	m a n a g o n a g o	m a n a j o n a j o	manajonajo
onèche	o n è ch e	o n E k e	onEke
do	d o	d o	do
lita	l i t a	l i t a	lita
sangila	s a n gi l a	s a n c l a	sancla
meha	m e h a	m e h a	meha
meha	m e h a	m e h a	meha
		⁇	⁇
huna²	h u n a ²	h u n a ²	huna²
ora	o r a	o r a	ora
abolowocho	a b o l o w o c h o	a b o l o w o k h o	abolowokho
milo tou	m i l o # t ou	m i l o # t o:u	milo to:u
milo tou	m i l o # t ou	m i l o # t o:u	milo to:u
boto zi máte	b o t o # z i # m á t e	b o t o # z i # m a t e	boto zi mate
fawude	f a w u d e	f a w u d e	fawude
fawude	f a w u d e	f a w u d e	fawude
gowe	g o w e	j o w e	jowe
faetósa	f ae t ó s a	f a:e t o s a	fa:etosa
na	n a	n a	na
odufodufo	o d u f o d u f o	o d u f o d u f o	odufodufo
odufodufo	o d u f o d u f o	o d u f o d u f o	odufodufo
dadaau	d a d a au	d a d a a:u	dadaa:u
oo	o o	o o	oo
oo	o o	o o	oo
gofuheza	g o f u h e z a	j o f u h e z a	jofuheza
afocho	a f o c h o	a f o k h o	afokho
owi	o w i	o w i	owi
awochi dodo	a w o ch i # d o d o	a w o k i # d o d o	awoki dodo
