originals	ENO_TOKEN	ENO_TRANSLITERATED	ENO_COMMON
uaha elòha	u a h a # e l ò h a	u a h a # e l O h a	uaha elOha
peionia caulu	p ei o n i a # c au l u	p e:i o n i a # k a:u l u	pe:ionia ka:ulu
eu apo	e u # a p o	e u # a p o	eu apo
eminuáe	e m i n u á e	e m i n u a e	eminuae
caracòia iaidia	c a r a c òi a # i ai d i a	k a r a k o:i a # i a:i d i a	karako:ia ia:idia
paporò	p a p o r ò	p a p o r O	paporO
uahelu chidera	u a h e l u # ch i d e r a	u a h e l u # k i d e r a	uahelu kidera
pachèli	p a ch è l i	p a k E l i	pakEli
uachepi	u a ch e p i	u a k e p i	uakepi
ua	u a	u a	ua
ua	u a	u a	ua
chèfu	ch è f u	k E f u	kEfu
iò	i ò	i O	iO
eochitipo	e o ch i t i p o	e o k i t i p o	eokitipo
curirifò	c u r i r i f ò	k u r i r i f O	kuririfO
		⁇	⁇
		⁇	⁇
ecaio	e c ai o	e k a:i o	eka:io
aehepòho	ae h e p ò h o	a:e h e p O h o	a:ehepOho
coco	c o c o	k o k o	koko
cobabarí	c o b a b a r í	k o b a b a r i	kobabari
cahau	c a h au	k a h a:u	kaha:u
cuo	c u o	k u o	kuo
chèoba pohai paniha	ch è o b a # p o h ai # p a n i h a	k E o b a # p o h a:i # p a n i x a	kEoba poha:i panixa
erio	e r i o	e r i o	erio
eliho	e l i h o	e l i x o	elixo
mimina	m i m i n a	m i m i n a	mimina
chidara	ch i d a r a	k i d a r a	kidara
		⁇	⁇
canua	c a n u a	k a n u a	kanua
aehenudia	ae h e n u d i a	a:e h e n u d i a	a:ehenudia
iòchi	i ò ch i	i O k i	iOki
pachiapa	p a ch i a p a	p a k i a p a	pakiapa
nai	n ai	n a:i	na:i
chemá	ch e m á	k e m a	kema
capuhu	c a p u h u	k a p u h u	kapuhu
uaha ioní	u a h a # i o n í	u a h a # i o n i	uaha ioni
eonò	e o n ò	e o n O	eonO
menò	m e n ò	m e n O	menO
eò	e ò	e O	eO
emino apo	e m i n o # a p o	e m i n o # a p o	emino apo
euè	e u è	e u E	euE
pahona	p a h o n a	p a h o n a	pahona
nanu	n a n u	n a n u	nanu
pahemana	p a h e m a n a	p a h e m a n a	pahemana
menaco	m e n a c o	m e n a k o	menako
ehabédo	e h a b é d o	e h a b e d o	ehabedo
eu apo	e u # a p o	e u # a p o	eu apo
eminuáe	e m i n u á e	e m i n u a e	eminuae
chimaná	ch i m a n á	k i m a n a	kimana
poporò	p o p o r ò	p o p o r O	poporO
echì	e ch ì	e k i	eki
echai	e c h ai	e k h a:i	ekha:i
echai	e c h ai	e k h a:i	ekha:i
chidaho	ch i d a h o	k i d a h o	kidaho
